Drug,Brand name,Species,Use,Notes,Source URL
AnimaCare Rescue Gel (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animacare-rescue-gel-can.html
AnimaCare Skin & Coat (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animacare-skin-coat-can.html
AnimaCare Urinary Tract (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animacare-urinary-tract-can.html
AnimaCare Weight Balance (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animacare-weight-balance-can.html
Animal Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/animal-shampoo.html
Animax Ointment,,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","If hearing dysfunction is noted during the course of treatment with Animax Ointment, discontinue its use.",https://www.drugs.com/vet/animax-ointment.html
Anipryl Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Percentage of Dogs with Adverse Events Reported in Clinical Field Trials,https://www.drugs.com/vet/anipryl-tablets.html
Annihilator PolyZone (Canada),,"Dog, Cat, Horse, Cattle, Sheep, Goat, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/annihilator-polyzone-can.html
Anti-Dandruff Exfoliating & Moisturizing Mousse,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anti-dandruff-exfoliating-moisturizing-mousse.html
Anti-Dandruff Exfoliating & Moisturizing Shampoo,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anti-dandruff-exfoliating-moisturizing-shampoo.html
Anti-Diarrhea Liquid,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",For internal use on animals only.,https://www.drugs.com/vet/anti-diarrhea-liquid.html
Anti-Fungal Shampoo,,"Dog, Cat, Horse","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anti-fungal-shampoo.html
Antioxidants With Coenzyme Q-10 Chewable Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Manufactured By: Garmon Corp. Temecula, CA 92590",https://www.drugs.com/vet/antioxidants-with-coenzyme-q-10-chewable-tablets.html
Antirobe Aquadrops Oral Solution,,"Dog, Cat, Horse, Pig, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Side effects occasionally observed in either clinical trials or during clinical use were vomiting and diarrhea.,https://www.drugs.com/vet/antirobe-aquadrops-oral-solution.html
Antirobe Aquadrops Solution (Canada),,"Dog, Cat, Horse, Pig, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/antirobe-aquadrops-solution-can.html
Antirobe Capsules,,"Dog, Cat, Horse, Pig, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Side effects occasionally observed in either clinical trials or during clinical use were vomiting and diarrhea.,https://www.drugs.com/vet/antirobe-capsules.html
Antirobe Capsules (150 mg) (Canada),,"Dog, Cat, Horse, Pig, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/antirobe-capsules-150-mg-can.html
Antirobe Capsules (25 mg) (Canada),,"Dog, Cat, Horse, Pig, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/antirobe-capsules-25-mg-can.html
Antirobe Capsules (75 mg) (Canada),,"Dog, Cat, Horse, Pig, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Keep out of reach of children.,https://www.drugs.com/vet/antirobe-capsules-75-mg-can.html
Antisedan,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Atipamezole is rapidly absorbed following intramuscular injection; maximum serum concentration is reached in approximately 10 minutes. Onset of arousal is usually apparent within 5 to 10 minutes of injection, depending on the depth and duration of dexmedetomidine- or medetomidine-induced sedation. Elimination half-life from serum is less than 3 hours. Atipamezole undergoes extensive hepatic biotransformation, with excretion of metabolites primarily in urine.",https://www.drugs.com/vet/antisedan.html
Antisedan (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","OVER DOSAGE: Atipamezole was tolerated in healthy dogs receiving doses 10-fold the recommended dose and in dogs receiving repeated doses at 1-, 3-, and 5-fold doses, in the absence of an α 2 -antagonist. Signs of overdose were dose-related and consistent with those expected in non-sedated dogs having received a stimulant. Signs seen at elevated doses included excitement, panting, trembling, vomiting, soft or liquid feces or vasodilation (injection) of the sclera. Some localized skeletal muscle injury was seen at the injection site; but no associated clinical signs or complications were observed. Dogs receiving the proper dose in the absence of dexmedetomidine or medetomidine, or 3-fold overdose after dexmedetomidine or medetomidine sedation, exhibited no significant clinical signs.",https://www.drugs.com/vet/antisedan-can.html
Antiseptic Iodine Spray (Canada),,"Dog, Cat, Horse, Cattle, Sheep","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/antiseptic-iodine-spray-can.html
Antitis-VM (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/antitis-vm-can.html
Anxiety & Stress Canine Chewable Tablets,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","For animal use only. Keep out of the reach of children and animals. In case of accidental overdose, contact a health professional immediately.",https://www.drugs.com/vet/anxiety-stress-canine-chewable-tablets.html
Anxiety & Stress Soft Chews for Dogs,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","Manufactured By: Garmon Corp. / VET CLASSICS , 27461 Via Industria, Temecula, CA 92590",https://www.drugs.com/vet/anxiety-stress-soft-chews-for-dogs.html
Anxitane M/L,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anxitane-m-l.html
Anxitane M/L (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anxitane-m-l-can.html
Anxitane S,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anxitane-s.html
Anxitane S (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anxitane-s-can.html
Anzio-VM (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/anzio-vm-can.html
Apex Plus for Dogs (23-44 lbs),,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/apex-plus-for-dogs-23-44-lbs.html
Apex Plus for Dogs (45-88 lbs),,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/apex-plus-for-dogs-45-88-lbs.html
Apex Plus for Dogs (5-22 lbs),,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/apex-plus-for-dogs-5-22-lbs.html
Apex Plus for Dogs (89-132 lbs),,"Dog, Cat, Rabbit","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","DO NOT USE ON CATS. Keep cats away from treated dogs for 24 hours. If applied to a cat or ingested by a cat, contact your veterinarian.",https://www.drugs.com/vet/apex-plus-for-dogs-89-132-lbs.html
Apo-Meloxicam (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/apo-meloxicam-can.html
Apocaps CXE (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/apocaps-cxe-can.html
Apoquel,,"Dog, Cat, Pig","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",Control of Atopic Dermatitis,https://www.drugs.com/vet/apoquel.html
ArthriEase-GOLD Hip & Joint Support Soft Chews For Dogs & Cats,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl","*In a 70 dog study, dogs on Arthri Ease -GOLD had 2.6 greater odds of showing an increase in activity after 25 days (relative to baseline activity), compared to dogs on a placebo. Results may vary.",https://www.drugs.com/vet/arthriease-gold-hip-joint-support-soft-chews-for-dogs-cats.html
Articulare-VM (Canada),,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/articulare-vm-can.html
Artificial tears,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/artificial-tears.html
Artificial Tears Ointment,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/artificial-tears-ointment.html
Aspirflex Aspirin Gel,,"Dog, Cat","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aspirflex-aspirin-gel.html
Aspirin Powder Apple Flavored,,"Dog, Cat, Horse, Cattle, Sheep, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aspirin-powder-apple-flavored.html
Aspirin USP with Apple Flavoring,,"Dog, Cat, Horse, Cattle, Sheep, Poultry","used to treat plaque psoriasis, psoriatic arthritis ... Reviews & ratings 8.1 / 10 71 Reviews View more Stelara Stelara (ustekinumab) injection is used to treat Crohn's disease, ulcerative colitis, pl",,https://www.drugs.com/vet/aspirin-usp-with-apple-flavoring.html
